idno,nwspol,netusoft,ppltrst,pplfair,pplhlp,polintr,psppsgva,actrolga,psppipla,cptppola,trstprl,trstlgl,trstplc,trstplt,trstprt,trstun,contplt,wrkprty,wrkorg,badge,sgnptit,pbldmn,bctprd,pstplonl,clsprty,lrscale,stflife,stfeco,stfgov,stfdem,stfedu,stfhlth,gincdif,mnrgtjb,freehms,hmsfmlsh,hmsacld,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,happy,sclmeet,inprdsc,sclact,crmvct,aesfdrk,health,hlthhmp,atchctr,atcherp,rlgblg,rlgdgr,rlgatnd,pray,dscrrce,dscrntn,dscrrlg,dscrlng,dscretn,dscrage,dscrgnd,dscrsex,dscrdsb,dscroth,brncntr,blgetmg,facntr,mocntr,gvrfgap,rfgbfml,eneffap,rdcenr,cflsenr,elgcoal,elghydr,elgnuc,elgsun,elgwind,elgbio,wrpwrct,wrenexp,wrdpimp,wrdpfos,wrntdis,wrinspw,wrtcfl,wrtratc,clmchng,clmthgt2,ccnthum,ccrdprs,wrclmch,ccgdbd,lkredcc,lklmten,gvsrdcc,ownrdcc,inctxff,sbsrnen,banhhap,dfincac,smdfslv,uemplwk,slvpens,slvuemp,gvslvol,gvslvue,gvcldcr,sbstrec,sbprvpv,sbeqsoc,sbbsntx,sblazy,sblwcoa,imsclbn,uentrjb,bnlwinc,lkuemp,lknemny,vteurmmb,hhmmb,gndr,agea,icpart1,dvrcdeva,maritalb,chldhm,domicil,pdwrk,edctn,uempla,uempli,dsbld,rtrd,cmsrv,hswrk,dngoth,emplrel,estsz,jbspv,wkdcorga,iorgact,wkhct,wkhtot,tporgwk,wrkac6m,uemp3m,mbtru,hincsrca,hinctnta,hincfel,pdwrkp,edctnp,uemplap,uemplip,dsbldp,rtrdp,cmsrvp,hswrkp,dngothp,emprf14,emprm14,atncrse,anctry1,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun,region,neverwork,occgrp,industry,votesd
768,120,5. Every day,6,7,5,2,2,3,2,3,6,7,6,7,6,8,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,7,9,8,6,6,8,9,2,5,2,5,2,2,2,2,8,8,9,8,5. Once a week,6. 10 or more,3,0. No,3,3,2,6,7,1. Yes,6,5. Only on special holy days,4. At least once a month,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,3,4,4,4,6,4,2,4,2,2,2,1,2,2,2,2,2,2,3,2,3,4,6,3,3,7,4,5,3,2,2,1,2,3,2. 5-9,6,5,9,7,9,4,4,4,3,3,4,3,4,2,1,1,2. Leave the European Union,2,0. No,67,1. Yes,0. No,1. Legally married,0. No,3. Town or small city,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,1. Employee,2. 10 to 24,0. No,8,8,40,40,2. Other public sector (such as education and health),0. No,0. No,"1. Yes, currently",4. Pensions,6th decile,1,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,2. Self-employed,3. Not working,0. No,12060. Swedish nfs,2,3,1,5,3,4,6,2,2,3,4,4,6,3,6,5,6,2,3,4,4,12. SE224,0,2. Professionals,15. Health and social work,0
769,120,5. Every day,7,5,8,2,2,2,4,3,7,7,6,4,4,5,0. No,0. No,0. No,0. No,1. Yes,1. Yes,0. No,0. No,1. Yes,7,10,8,5,8,7,6,3,5,1,5,1,2,2,2,6,10,7,9,6. Several times a week,6. 10 or more,3,0. No,2,1,3,10,7,0. No,2,6. Less often,7. Never,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,0. No,2,3,10,3,10,5,2,3,4,4,3,1,3,3,2,2,2,2,2,2,3,3,7,2,4,8,4,6,2,2,4,5,2,3,1. 0-4,5,4,9,6,10,3,2,3,4,3,3,2,4,3,1,1,1. Remain member of the European Union,2,0. No,67,1. Yes,0. No,1. Legally married,0. No,1. A big city,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,3. Working for own family business,1. Under 10,1. Yes,8,8,40,40,2. Other public sector (such as education and health),0. No,0. No,"2. Yes, previously",4. Pensions,10th decile,1,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,1. Employee,3. Not working,1. Yes,12060. Swedish nfs,1,4,1,5,3,3,5,2,2,1,3,1,5,2,2,4,5,1,3,2,3,12. SE224,0,2. Professionals,14. Education,0
770,60,5. Every day,6,7,7,1,1,3,2,3,5,2,2,3,3,5,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,1. Yes,5,8,4,4,3,5,5,2,4,3,4,3,2,2,3,5,4,5,7,7. Every day,1. 1,4,1. Yes,2,2,3,10,6,0. No,5,7. Never,7. Never,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,4,3,8,6,8,5,1,3,1,1,2,2,4,3,2,2,2,3,3,2,4,4,8,3,3,5,7,8,5,2,1,1,2,3,2. 5-9,5,5,10,10,10,2,3,2,3,1,1,4,3,4,1,1,1. Remain member of the European Union,2,1. Yes,67,1. Yes,1. Yes,1. Legally married,0. No,2. Suburbs or outskirts of big city,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,1. Employee,4. 100 to 499,0. No,7,4,40,40,1. Central or local government,0. No,0. No,"2. Yes, previously",4. Pensions,5th decile,1,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,1. Employee,1. Employee,0. No,12060. Swedish nfs,2,4,2,1,3,5,2,2,2,3,3,2,4,2,5,3,3,2,2,2,3,10. SE214,0,7. Craft and Trades,"10. Finance, insurance, real estate",0
771,120,5. Every day,9,8,9,2,1,2,2,3,2,2,2,2,2,1,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,1. Yes,8,9,5,2,6,3,6,2,5,1,5,2,3,3,3,2,6,3,9,4. Several times a month,4. 4-6,2,0. No,1,1,3,8,3,0. No,1,6. Less often,7. Never,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,5,5,7,4,8,5,5,2,2,4,4,2,3,3,3,1,2,2,3,1,5,4,8,2,3,8,8,4,3,3,2,4,2,3,4. 15-19,2,6,10,6,7,4,3,4,4,2,3,5,2,2,1,1,2. Leave the European Union,2,0. No,67,1. Yes,0. No,1. Legally married,0. No,5. Farm or home in countryside,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,1. Employee,2. 10 to 24,0. No,8,6,40,40,1. Central or local government,0. No,1. Yes,3. No,4. Pensions,5th decile,1,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,1. Employee,1. Employee,0. No,12060. Swedish nfs,2,2,2,5,3,3,3,3,3,4,1,4,6,2,6,6,6,2,2,1,2,19. SE322,0,4. Clerical,"11. Professional, scientific, and technical",0
777,120,2. Only occasionally,7,8,8,2,3,4,4,4,9,9,7,7,6,5,0. No,0. No,1. Yes,1. Yes,1. Yes,0. No,1. Yes,0. No,1. Yes,4,8,6,5,9,3,7,2,4,2,3,1,1,2,1,8,9,8,8,4. Several times a month,4. 4-6,2,0. No,1,2,3,9,9,0. No,2,5. Only on special holy days,4. At least once a month,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,2,2,8,5,7,4,2,4,1,2,3,2,1,2,3,1,2,2,1,1,4,3,8,3,1,8,3,3,7,2,1,4,2,2,3. 10-14,8,3,5,5,6,2,2,2,3,4,4,4,4,2,1,1,1. Remain member of the European Union,2,1. Yes,67,1. Yes,0. No,1. Legally married,0. No,5. Farm or home in countryside,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,1. Employee,3. 25 to 99,0. No,9,6,7,7,2. Other public sector (such as education and health),0. No,0. No,"2. Yes, previously",4. Pensions,10th decile,1,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,1. Employee,1. Employee,1. Yes,12060. Swedish nfs,1,3,2,2,3,4,3,2,3,2,1,3,4,5,5,3,2,2,3,1,2,4. SE123,0,2. Professionals,15. Health and social work,0
785,90,5. Every day,9,8,4,2,3,3,2,3,10,9,8,3,3,5,1. Yes,1. Yes,0. No,1. Yes,1. Yes,0. No,0. No,0. No,1. Yes,8,9,5,4,9,2,10,4,5,1,5,1,1,1,1,8,10,8,9,6. Several times a week,4. 4-6,4,0. No,1,2,3,9,8,1. Yes,7,3. Once a week,6. Less often,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,2,2,9,5,9,4,2,1,2,3,4,2,4,3,3,2,2,2,2,1,4,4,6,3,3,9,7,5,6,2,1,3,2,2,3. 10-14,5,6,8,5,8,2,2,2,2,2,2,1,4,3,1,1,1. Remain member of the European Union,2,1. Yes,67,1. Yes,0. No,1. Legally married,0. No,4. Country village,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,1. Employee,3. 25 to 99,0. No,10,8,40,45,4. A private firm,1. Yes,0. No,"2. Yes, previously",4. Pensions,8th decile,1,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,1. Employee,0. No,12060. Swedish nfs,2,3,2,4,5,2,4,2,3,2,4,2,4,5,2,3,4,2,2,2,2,1. SE110,0,2. Professionals,9. Information and communication,0
788,1,5. Every day,7,4,8,2,2,1,2,1,7,7,7,5,5,6,0. No,0. No,1. Yes,0. No,0. No,0. No,0. No,0. No,1. Yes,9,9,7,5,7,4,8,3,5,1,5,1,1,1,2,6,6,5,9,5. Once a week,4. 4-6,3,1. Yes,3,3,3,8,8,0. No,5,5. Only on special holy days,6. Less often,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,3,2,8,3,3,4,3,2,2,3,1,2,2,3,3,2,2,2,3,2,2,3,5,2,6,6,3,5,4,5,2,5,3,3,4. 15-19,1,2,5,5,5,3,2,3,2,3,2,2,3,2,55,2,1. Remain member of the European Union,1,0. No,67,0. No,0. No,5. Widowed/civil partner died,0. No,2. Suburbs or outskirts of big city,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,2. Self-employed,1. Under 10,1. Yes,10,10,40,40,4. A private firm,0. No,0. No,3. No,4. Pensions,5th decile,1,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,3. Not working,0. No,12060. Swedish nfs,2,4,3,5,5,2,6,3,5,2,3,3,4,4,2,3,5,2,4,1,2,1. SE110,0,2. Professionals,6. Wholesale and retail,0
790,120,4. Most days,3,5,3,2,2,3,2,3,5,7,5,3,3,5,1. Yes,0. No,0. No,0. No,1. Yes,0. No,0. No,1. Yes,0. No,0,9,5,4,8,7,3,1,5,1,5,2,1,1,1,7,7,6,8,5. Once a week,2. 2,3,0. No,3,2,3,5,3,0. No,0,7. Never,7. Never,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,1. Yes,3,2,9,5,5,5,3,3,2,2,2,2,4,4,4,3,3,2,4,2,3,4,7,3,2,5,7,6,7,2,2,2,4,2,2. 5-9,3,4,8,8,8,3,2,2,4,4,3,2,4,4,1,1,1. Remain member of the European Union,1,0. No,67,0. No,1. Yes,4. Legally divorced/civil union dissolved,0. No,2. Suburbs or outskirts of big city,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,1. Employee,1. Under 10,0. No,10,8,40,40,4. A private firm,0. No,0. No,"2. Yes, previously",4. Pensions,3rd decile,1,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,1. Employee,0. No,12060. Swedish nfs,4,5,2,5,3,3,3,5,4,2,1,3,5,2,5,2,4,2,3,2,2,2. SE121,0,4. Clerical,"11. Professional, scientific, and technical",0
791,10,5. Every day,0,8,7,2,1,3,2,2,8,9,9,4,4,5,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,5,10,9,6,8,7,7,2,3,2,3,4,1,1,2,0,0,3,10,2. Less than once a month,1. 1,2,0. No,1,2,3,10,5,0. No,8,7. Never,4. At least once a month,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,2,3,6,5,7,5,1,5,1,1,1,1,3,3,3,3,3,3,3,2,3,3,6,2,6,9,7,7,0,2,1,1,4,2,2. 5-9,5,8,10,10,10,2,2,2,4,2,2,3,2,4,1,1,2. Leave the European Union,2,1. Yes,67,1. Yes,1. Yes,1. Legally married,0. No,5. Farm or home in countryside,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,1. Employee,5. 500 or more,1. Yes,9,0,40,40,1. Central or local government,0. No,0. No,"1. Yes, currently",4. Pensions,5th decile,2,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,1. Employee,3. Not working,0. No,12060. Swedish nfs,2,6,1,2,2,5,2,1,2,2,2,2,2,1,1,1,2,1,1,1,1,12. SE224,0,5. Services,13. Public administration and defense,1
792,120,5. Every day,8,7,5,2,2,3,2,2,9,7,8,6,6,7,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,0. No,1. Yes,4,9,7,7,9,6,5,2,5,1,5,3,2,2,2,7,7,7,9,4. Several times a month,4. 4-6,2,0. No,1,1,3,9,9,0. No,0,7. Never,7. Never,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,2,2,8,5,7,5,1,3,3,4,3,2,2,2,3,2,2,2,2,1,3,4,7,3,3,8,6,6,5,2,2,4,2,2,2. 5-9,2,3,8,8,10,5,1,1,5,5,4,2,4,1,55,1,1. Remain member of the European Union,2,1. Yes,67,1. Yes,1. Yes,1. Legally married,0. No,2. Suburbs or outskirts of big city,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,1. Employee,5. 500 or more,0. No,9,2,40,40,4. A private firm,0. No,0. No,"2. Yes, previously",4. Pensions,10th decile,1,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,2. Self-employed,2. Self-employed,1. Yes,12060. Swedish nfs,3,4,1,2,1,4,2,2,3,4,2,2,2,2,5,3,2,2,2,4,3,12. SE224,0,3. Technicians,14. Education,0
801,120,5. Every day,8,8,6,2,3,3,3,2,6,7,7,5,6,5,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,1. Yes,4,7,5,5,7,4,6,1,5,1,5,2,2,2,2,7,8,7,7,7. Every day,3. 3,4,0. No,1,2,3,10,8,0. No,0,7. Never,7. Never,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,2,2,8,3,7,5,4,4,1,2,2,3,4,4,4,3,3,2,3,1,3,3,7,3,0,3,2,3,1,2,2,3,5,1,2. 5-9,1,5,10,10,10,4,2,2,4,4,4,1,4,4,1,1,1. Remain member of the European Union,1,0. No,67,0. No,0. No,5. Widowed/civil partner died,0. No,4. Country village,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,2. Self-employed,1. Under 10,1. Yes,10,10,0,5,4. A private firm,0. No,0. No,"2. Yes, previously",4. Pensions,1st decile,1,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,3. Not working,0. No,12060. Swedish nfs,3,6,1,4,3,4,6,2,5,3,1,2,6,5,4,6,5,1,2,5,4,10. SE214,0,7. Craft and Trades,16. Arts and entertainment,0
802,60,5. Every day,5,7,4,2,2,3,2,3,7,8,8,3,3,8,0. No,0. No,1. Yes,0. No,1. Yes,0. No,0. No,0. No,1. Yes,7,8,5,6,8,4,3,2,4,2,4,3,2,2,2,7,7,6,8,5. Once a week,4. 4-6,3,1. Yes,1,1,3,8,3,1. Yes,7,5. Only on special holy days,1. Every day,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,3,2,8,4,6,5,1,4,2,2,2,4,2,2,2,2,3,2,4,1,3,3,8,2,3,7,4,8,7,2,2,1,2,2,2. 5-9,3,3,8,8,8,3,2,2,2,4,4,4,4,2,1,1,2. Leave the European Union,2,1. Yes,67,1. Yes,0. No,1. Legally married,0. No,2. Suburbs or outskirts of big city,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,1. Employee,3. 25 to 99,0. No,8,4,38,40,4. A private firm,0. No,0. No,"2. Yes, previously",4. Pensions,6th decile,1,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,4. Father dead/absent,1. Employee,0. No,12060. Swedish nfs,2,5,2,1,2,2,2,3,3,2,1,2,1,2,3,1,2,1,2,3,1,20. SE331,0,5. Services,6. Wholesale and retail,0
807,30,5. Every day,7,7,8,1,4,5,4,5,8,7,9,6,4,7,1. Yes,0. No,1. Yes,0. No,1. Yes,0. No,1. Yes,1. Yes,0. No,4,10,7,4,4,5,8,2,4,2,5,2,1,2,2,6,7,6,9,6. Several times a week,5. 7-9,3,0. No,1,2,3,10,8,1. Yes,3,5. Only on special holy days,4. At least once a month,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,3,2,8,5,10,5,2,3,3,3,3,3,2,2,3,4,3,2,3,1,5,4,8,4,2,7,1,3,1,2,1,2,3,2,2. 5-9,2,2,10,8,6,4,2,2,3,4,4,3,4,3,1,1,1. Remain member of the European Union,2,1. Yes,67,1. Yes,0. No,5. Widowed/civil partner died,0. No,4. Country village,1. Yes,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,1. Employee,2. 10 to 24,0. No,7,6,37,38,4. A private firm,0. No,0. No,"1. Yes, currently",1. Wages or salaries,6th decile,2,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,2. Self-employed,1. Yes,12060. Swedish nfs,1,3,1,2,3,2,3,2,3,4,5,3,5,3,3,2,3,2,2,3,4,8. SE212,0,2. Professionals,9. Information and communication,0
809,120,5. Every day,8,8,7,2,3,3,3,2,10,10,8,8,8,8,0. No,0. No,1. Yes,0. No,0. No,0. No,0. No,0. No,1. Yes,8,9,7,6,9,5,5,4,5,1,5,2,1,1,1,8,10,8,8,6. Several times a week,4. 4-6,4,0. No,2,2,2,10,7,1. Yes,5,6. Less often,7. Never,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,3,4,5,4,5,5,3,3,1,1,4,1,2,2,3,1,1,2,2,1,3,4,10,3,8,8,5,6,8,2,2,1,2,4,3. 10-14,6,6,4,4,4,2,2,4,3,2,2,1,4,3,1,1,1. Remain member of the European Union,3,1. Yes,67,1. Yes,0. No,1. Legally married,1. Yes,2. Suburbs or outskirts of big city,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,1. Employee,5. 500 or more,0. No,10,7,38,38,4. A private firm,0. No,0. No,"2. Yes, previously",4. Pensions,7th decile,1,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,1. Employee,3. Not working,0. No,12060. Swedish nfs,3,4,2,5,4,4,3,2,2,2,2,2,5,6,4,3,2,2,2,3,3,1. SE110,0,3. Technicians,9. Information and communication,0
811,15,1. Never,4,9,7,3,1,2,2,1,4,0,5,3,4,2,0. No,0. No,1. Yes,1. Yes,1. Yes,1. Yes,1. Yes,0. No,1. Yes,9,10,5,4,4,3,3,2,4,3,3,4,3,3,3,2,2,3,10,4. Several times a month,3. 3,2,0. No,1,2,2,10,7,1. Yes,8,5. Only on special holy days,6. Less often,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,3,5,9,6,8,4,2,4,1,2,1,1,3,4,3,3,2,3,2,1,3,4,10,2,3,5,3,5,7,3,3,2,4,2,4. 15-19,1,7,10,8,10,2,3,5,3,2,2,4,2,2,1,1,2. Leave the European Union,2,0. No,67,1. Yes,0. No,1. Legally married,0. No,4. Country village,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,1. Employee,2. 10 to 24,0. No,3,6,25,25,1. Central or local government,0. No,0. No,"1. Yes, currently",4. Pensions,5th decile,1,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,2. Self-employed,3. Not working,0. No,12060. Swedish nfs,1,5,1,4,1,2,1,1,3,2,2,2,4,1,5,2,2,2,1,1,3,6. SE125,0,5. Services,15. Health and social work,0
818,180,5. Every day,7,5,7,1,2,3,2,3,7,5,5,3,3,4,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,6,8,3,3,4,2,4,3,4,2,3,4,3,4,4,1,2,2,8,5. Once a week,3. 3,1,0. No,2,2,3,8,3,0. No,6,6. Less often,6. Less often,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,4,4,6,4,7,4,1,2,3,3,2,2,2,2,2,2,2,2,3,2,3,4,6,3,4,5,2,3,4,2,4,5,1,3,3. 10-14,5,4,5,4,5,2,2,2,2,2,2,3,3,2,1,1,2. Leave the European Union,1,1. Yes,66,0. No,0. No,6. None of these (NEVER married or in legally registered civil union),0. No,2. Suburbs or outskirts of big city,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,1. Employee,4. 100 to 499,0. No,7,7,40,40,4. A private firm,0. No,0. No,"1. Yes, currently",4. Pensions,4th decile,2,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,1. Employee,0. No,12060. Swedish nfs,2,5,4,4,3,4,3,4,3,4,2,4,4,5,5,4,3,2,4,4,4,1. SE110,0,3. Technicians,9. Information and communication,0
819,360,4. Most days,6,7,5,3,2,1,2,1,9,9,9,6,5,8,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0,8,7,7,9,6,9,2,5,1,5,1,2,2,2,7,8,8,8,7. Every day,1. 1,5,0. No,1,2,3,10,5,1. Yes,10,1. Every day,1. Every day,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1,4,10,3,0,4,3,5,1,1,4,1,1,2,1,1,1,1,1,1,4,3,6,3,2,10,0,5,1,1,1,1,2,4,7. 30-34,1,3,10,5,8,1,2,5,4,4,4,3,1,3,1,1,1. Remain member of the European Union,3,1. Yes,66,1. Yes,1. Yes,1. Legally married,1. Yes,1. A big city,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,3. 25 to 99,1. Yes,9,9,38,1,4. A private firm,0. No,0. No,"1. Yes, currently",1. Wages or salaries,9th decile,1,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,3. Not working,1. Yes,30000. Sub-Saharan African,3,6,2,6,2,5,2,1,2,5,2,1,6,1,6,1,6,1,1,1,3,1. SE110,0,5. Services,6. Wholesale and retail,0
820,60,5. Every day,8,8,9,2,3,3,3,4,8,8,8,6,6,8,0. No,0. No,1. Yes,1. Yes,1. Yes,0. No,1. Yes,0. No,1. Yes,3,9,7,7,8,6,7,2,5,1,5,1,1,1,2,5,8,9,8,6. Several times a week,1. 1,3,0. No,2,1,3,8,8,0. No,1,7. Never,7. Never,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,2,2,9,6,10,5,2,3,2,3,2,3,2,4,3,3,3,3,4,1,5,4,8,4,1,8,5,6,3,1,1,1,4,2,4. 15-19,8,5,10,10,8,4,2,2,3,4,3,3,4,2,1,1,1. Remain member of the European Union,2,0. No,66,1. Yes,0. No,1. Legally married,0. No,3. Town or small city,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,1. Employee,5. 500 or more,1. Yes,9,7,40,50,1. Central or local government,0. No,0. No,"2. Yes, previously",4. Pensions,10th decile,1,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,0. No,0. No,1. Employee,1. Employee,0. No,12060. Swedish nfs,2,4,1,3,3,3,3,2,2,4,3,2,4,2,4,2,4,3,1,5,5,4. SE123,0,3. Technicians,"11. Professional, scientific, and technical",0
821,60,5. Every day,7,9,7,2,3,3,3,4,7,6,7,8,5,7,0. No,0. No,1. Yes,1. Yes,1. Yes,0. No,1. Yes,1. Yes,1. Yes,4,8,7,7,7,6,7,2,5,1,5,1,1,1,1,9,10,8,8,5. Once a week,5. 7-9,3,1. Yes,2,1,3,9,7,1. Yes,6,4. At least once a month,6. Less often,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,2,1,10,4,7,4,1,3,2,2,3,2,2,3,3,2,2,3,2,2,4,3,8,4,2,5,3,5,2,2,1,3,4,1,2. 5-9,4,2,8,8,9,5,2,1,4,4,4,1,4,1,1,1,1. Remain member of the European Union,2,0. No,66,1. Yes,0. No,1. Legally married,0. No,3. Town or small city,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,3. 25 to 99,0. No,8,4,40,40,2. Other public sector (such as education and health),0. No,0. No,"1. Yes, currently",1. Wages or salaries,9th decile,1,1. Yes,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Employee,3. Not working,1. Yes,12060. Swedish nfs,3,6,1,5,4,3,4,2,3,4,5,2,4,5,6,6,5,1,3,5,3,14. SE232,0,1. Managers,16. Arts and entertainment,0
822,30,5. Every day,7,7,7,3,3,1,3,2,5,5,6,5,5,6,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,7,10,6,6,8,6,7,2,4,1,4,2,2,2,2,7,10,8,8,6. Several times a week,2. 2,4,0. No,1,1,2,10,8,1. Yes,6,4. At least once a month,6. Less often,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,1. Yes,2,2,9,3,5,5,1,5,1,1,2,2,2,3,3,2,2,2,2,2,3,3,7,2,4,7,6,5,7,4,2,3,4,2,3. 10-14,7,4,8,6,9,2,2,2,3,4,3,4,4,3,1,1,1. Remain member of the European Union,2,0. No,66,1. Yes,0. No,1. Legally married,0. No,4. Country village,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,0. No,1. Employee,2. 10 to 24,0. No,6,4,40,40,2. Other public sector (such as education and health),0. No,0. No,"2. Yes, previously",8. Income from other sources,7th decile,1,0. No,0. No,0. No,0. No,0. No,1. Yes,0. No,1. Yes,0. No,1. Employee,1. Employee,0. No,12060. Swedish nfs,2,5,2,3,1,4,2,3,2,3,2,3,5,4,6,3,4,2,3,2,4,12. SE224,0,5. Services,14. Education,0
